event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-039,TensorWave,2025-05-14,2025-05,$100M,100,Series A,,,Magnetar Capital; AMD Ventures; Prosperity7 Ventures; Nexus Venture Partners; Maverick Silicon,AI infrastructure (Las Vegas),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-040,StackOne,2025-05-15,2025-05,$15M (latest),15.0,Series A,Undisclosed,,Episode 1 Ventures; Hambro Perks; M12,Unified API connecting AI agents to enterprise SaaS and HR systems,"Tracxn, StackOne (official)",https://www.stackone.com/blog,partial,True,
round-041,LMArena,2025-05-21,2025-05,$100M,100,Seed,$600M,600,Andreessen Horowitz; UC Investments; Lightspeed; Kleiner Perkins; Felicis,Community AI model benchmarking,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-042,Snorkel AI,2025-05-29,2025-05,$100M,100,Series D,$1.3B,1300,Addition; Prosperity7 Ventures; Lightspeed Venture Partners; Greylock,AI data labeling,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
