event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-063,Clay,2025-08-05,2025-08,$100M,100.0,Series C,$3.1B (Aug 2025),3100.0,CapitalG; Sequoia Capital; Meritech Capital; Iconiq Growth,AI-powered go-to-market & sales automation platform,"TechCrunch, Crunchbase News, Business Wire",https://www.clay.com/blog,verified,True,
round-064,Decart,2025-08-07,2025-08,$100M,100,,$3.1B,3100,Sequoia Capital; Benchmark; Zeev Ventures,AI research lab,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-065,Cohere,2025-08-14,2025-08,$500M,500,Series D,$6.8B,6800,,Secure enterprise and sovereign AI; oversubscribed round,Cohere announcement,https://cohere.com/blog/august-2025-funding-round,verified,True,"additional $100M second close announced Sep 24, 2025"
round-066,EliseAI,2025-08-20,2025-08,$250M,250,Series E,$2.2B,2200,Andreessen Horowitz,Healthcare and housing automation,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-067,Nuro,2025-08-25,2025-08,$203M,203.0,Series E,$6B (Aug 2025),6000.0,Uber; Baillie Gifford; Nvidia; SoftBank Vision Fund; T. Rowe Price,Autonomous driving AI licensing platform,"Nuro (official), Built In SF, Tracxn",https://www.nuro.ai/press,verified,True,
