event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-013,Hippocratic AI,2025-01-09,2025-01,$141M,141,Series B,$1.6B,1600,Kleiner Perkins; Andreessen Horowitz; Nvidia; General Catalyst,LLMs for healthcare,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-014,StackBlitz,2025-01-15,2025-01,$105.5M,105.5,Series B,~$700M (Jan 2025),700.0,Menlo Ventures; GV; a16z,bolt.new — AI web app builder running dev environments in the browser,"Sacra, Tracxn, Panto",https://sacra.com/c/stackblitz-bolt-new/,partial,True,
round-015,Clay,2025-01-22,2025-01,$40M,40,Series B extension,$1.25B,1250,,"Pre-emptive Series B expansion, following 6x ARR growth",Clay announcement,https://www.clay.com/blog/series-b-expansion,verified,True,
round-016,ElevenLabs,2025-01-30,2025-01,$180M,180,Series C,$3B,3000,Iconiq; Andreessen Horowitz; Sequoia; NEA; Salesforce Ventures,Synthetic voice,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
